Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
129,Dallas Goedert,PHI,23,TE,16,8,44,33,75.00%,334,10.1,4,15,32,7.6,2.1,20.9,0
130,Anthony Miller,CHI,24,WR,15,4,54,33,61.10%,423,12.8,7,19,55,7.8,2.2,28.2,1
131,Tevin Coleman,ATL,25,RB,16,14,44,32,72.70%,276,8.6,5,15,39,6.3,2,17.3,2
132,Chris Conley,KAN,26,WR,16,13,52,32,61.50%,334,10.4,5,18,27,6.4,2,20.9,2
133,Phillip Dorsett,NWE,25,WR,16,2,42,32,76.20%,290,9.1,3,14,20,6.9,2,18.1,0
134,Will Fuller,HOU,24,WR,7,7,45,32,71.10%,503,15.7,4,22,73,11.2,4.6,71.9,0
135,Kerryon Johnson,DET,21,RB,10,7,39,32,82.10%,213,6.7,1,11,24,5.5,3.2,21.3,1
136,Bruce Ellington,2TM,27,WR,7,3,42,31,73.80%,224,7.2,1,14,23,5.3,4.4,32,1
137,Jeff Heuerman,DEN,26,TE,11,10,48,31,64.60%,281,9.1,2,14,36,5.9,2.8,25.5,0
138,Cameron Brate,TAM,27,TE,16,2,49,30,61.20%,289,9.6,6,18,21,5.9,1.9,18.1,1
139,DaeSean Hamilton,DEN,23,WR,14,5,45,30,66.70%,243,8.1,2,16,24,5.4,2.1,17.4,0
140,Jesse James,PIT,24,TE,16,7,39,30,76.90%,423,14.1,2,17,51,10.8,1.9,26.4,0
141,Kyle Juszczyk*,SFO,27,FB,16,14,41,30,73.20%,324,10.8,1,15,56,7.9,1.9,20.3,2
142,Jamison Crowder,WAS,25,WR,9,7,49,29,59.20%,388,13.4,2,15,79,7.9,3.2,43.1,0
143,Josh Reynolds,LAR,23,WR,16,8,53,29,54.70%,402,13.9,5,23,33,7.6,1.8,25.1,0
144,Nick Vannett,SEA,25,TE,15,9,43,29,67.40%,269,9.3,3,17,32,6.3,1.9,17.9,1
145,Keke Coutee,HOU,21,WR,6,2,41,28,68.30%,287,10.3,1,13,40,7,4.7,47.8,0
146,Antonio Gates,LAC,38,TE,16,1,45,28,62.20%,333,11.9,2,19,27,7.4,1.8,20.8,1
147,Maurice Harris,WAS,26,WR,12,7,47,28,59.60%,304,10.9,0,12,42,6.5,2.3,25.3,1
